player,category,source,line,prediction,model_prob_over,implied_prob,recommended_bet,expected_value,edge,confidence,odds,model_confidence,confidence_adjusted_edge,market_category,kelly_size_full,kelly_size_quarter
Matt Koperniak,total_bases,prizepicks,3.5,0.5934133071349776,0.026328423933960288,0.5238095238095238,UNDER,1.0447103097386834,1.0447103097386834,VERY_HIGH,-110,0.9716908561737864,1.0151354553235628,PREMIUM,0.9484699257247639,0.23711748143119096
Nathan Eovaldi,pitcher_strikeouts,prizepicks,6.5,2.054715097739356,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9406845962573275,1.0149986793616563,PREMIUM,0.9807321594068581,0.24518303985171452
Nathan Eovaldi,pitcher_strikeouts,prizepicks,6.5,1.4777112391201754,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9406845962573275,1.0149986793616563,PREMIUM,0.9807321594068581,0.24518303985171452
Nathan Eovaldi,pitcher_strikeouts,underdog,5.5,1.4777112391201754,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9406845962573275,1.0149986793616563,PREMIUM,0.9807321594068581,0.24518303985171452
Nathan Eovaldi,pitcher_strikeouts,prizepicks,6.5,2.1421710261230142,0.01,0.5238095238095238,UNDER,1.079,1.079,VERY_HIGH,-110,0.9406845962573275,1.0149986793616563,PREMIUM,0.9807321594068581,0.24518303985171452
Nathan Eovaldi,pitcher_strikeouts,underdog,5.5,2.054715097739356,0.01081347570199076,0.5238095238095238,UNDER,1.0772917010258194,1.0772917010258194,VERY_HIGH,-110,0.9406845962573275,1.0133917088308424,PREMIUM,0.9791488755426222,0.24478721888565555
Max Clark,total_bases,prizepicks,4.5,1.393193724548144,0.019169859403529443,0.5238095238095238,UNDER,1.0597432952525883,1.0597432952525883,VERY_HIGH,-110,0.9545230338690021,1.0115493853068342,PREMIUM,0.9627409868463066,0.24068524671157665
Ryan Pepiot,pitcher_strikeouts,underdog,6.5,3.3479319371620893,0.017803867723051425,0.5238095238095238,UNDER,1.062611877781592,1.062611877781592,VERY_HIGH,-110,0.9518225221484621,1.0114179175749882,PREMIUM,0.9654413151180997,0.24136032877952493
Nathan Eovaldi,pitcher_strikeouts,underdog,5.5,2.1421710261230142,0.012592519050031226,0.5238095238095238,UNDER,1.0735557099949347,1.0735557099949347,VERY_HIGH,-110,0.9406845962573275,1.0098773196163338,PREMIUM,0.9756777505477239,0.24391943763693097
Ryan Yarbrough,pitcher_strikeouts,prizepicks,6.0,2.882002148208875,0.018824065250841793,0.5238095238095238,UNDER,1.0604694629732323,1.0604694629732323,VERY_HIGH,-110,0.9518225221484621,1.0093787189086072,PREMIUM,0.9634252442219039,0.24085631105547597
